Student Age,Additional work,Regular artistic or sports activity,Do you have a partner,Transportation to the university,Weekly study hours,Reading frequency,Reading frequency,Attendance to the seminars/conferences related to the department,Attendance to classes,Preparation to midterm exams 1,Preparation to midterm exams 2,Taking notes in classes,Listening in classes,GRADE
2,1,2,2,1,3,2,2,1,1,1,1,3,2,1
2,1,2,2,1,2,2,2,1,1,1,1,3,2,1
2,2,2,2,4,2,1,2,1,1,1,1,2,2,1
1,1,2,1,1,3,1,2,1,1,1,2,3,2,1
2,2,2,1,1,2,1,1,1,1,2,1,2,2,1
2,2,2,2,1,1,1,2,1,1,1,1,1,2,2
1,2,2,2,1,2,2,2,2,2,1,1,3,3,5
1,1,1,1,2,1,2,2,1,1,3,1,3,2,2
2,2,1,1,1,1,2,2,1,1,1,1,3,2,5
2,2,2,1,4,2,2,2,1,2,1,1,2,2,0
1,2,2,2,2,1,1,1,1,2,1,1,2,2,2
1,1,1,2,2,3,3,3,1,1,3,2,3,1,0
1,2,2,2,1,3,2,2,1,1,1,1,2,2,0
2,2,2,2,1,1,2,1,1,2,1,1,3,2,1
3,1,1,2,4,2,2,2,1,1,1,1,2,3,2
2,2,2,2,1,2,2,2,2,2,1,1,3,2,2
1,2,1,2,1,2,2,2,1,2,1,1,3,2,1
2,2,2,2,1,2,2,2,2,2,1,1,2,2,2
1,2,2,2,1,5,3,2,2,2,1,1,3,1,2
1,2,2,1,2,4,2,2,1,1,1,1,3,2,3
1,1,2,1,4,4,2,2,2,1,1,2,3,1,1
1,2,2,1,4,3,2,2,1,1,1,1,3,1,1
2,1,2,1,1,3,3,3,1,1,1,2,3,1,3
3,1,1,2,1,3,2,3,1,2,1,1,3,2,1
2,2,2,2,1,1,2,2,1,1,1,1,2,1,2
2,2,2,1,1,2,2,2,1,1,1,1,2,1,3
2,2,1,1,1,2,3,2,1,1,1,1,3,3,1
1,1,2,2,1,3,2,2,1,2,1,1,3,1,1
3,2,2,1,4,2,2,2,1,1,1,1,3,2,3
2,2,2,2,4,2,2,2,1,1,1,1,3,2,5
2,1,1,1,1,2,2,2,1,1,2,1,2,3,5
3,1,2,2,1,2,2,3,1,1,1,1,3,3,3
2,2,2,2,1,2,2,2,1,2,1,1,2,2,1
2,1,2,1,1,2,1,2,1,1,1,1,1,3,2
1,2,2,1,1,2,1,1,1,2,1,1,2,2,2
1,2,2,2,1,2,2,2,1,2,1,1,2,1,1
2,1,2,1,1,1,1,3,1,2,2,1,2,1,2
2,1,1,1,2,2,2,2,1,1,1,1,3,2,1
2,2,2,2,1,3,2,2,1,1,2,1,2,2,2
2,2,2,1,1,1,2,1,1,1,1,1,2,2,1
1,2,2,2,1,1,2,2,1,1,1,1,3,1,1
3,1,2,2,1,3,2,2,1,2,1,1,3,2,1
2,2,1,2,4,2,2,1,1,1,1,1,2,1,1
1,2,2,1,1,2,2,2,1,2,1,1,3,1,4
2,2,2,1,1,2,2,2,1,1,2,1,3,2,1
1,2,2,1,1,3,2,2,1,1,1,1,2,2,3
